path	bytes	LF	CR	final_LF	mode	SHA256	type	status
v16_public_full_gate_harness.js	28183	459	0	true	644	51c236daaa366c0f03fea60f8e0b78e985976ad12e0255f1b48894b7b2da5689	javascript_harness	FROZEN_LOCAL_STATIC_REVIEW_PASS_NONEXECUTED_NONCREDIT
v16_public_full_gate_harness_preparation_inactive_authority.txt	5914	1	0	true	644	697bfa0ace6f1e543a70096aa3a5dadf900a7761eff7a6c117cd5d40a0f5f929	authority_or_candidate_text	FROZEN_HISTORICAL_NONCREDIT
v16_public_full_gate_harness_preparation_inactive_authority_v2.txt	12525	1	0	true	644	d13fda0032a6a60b7bb93a2ed83511c7e8f63d6f047588ef2cb283a3c2ed3a77	authority_or_candidate_text	FROZEN_HISTORICAL_NONCREDIT
v16_public_gate_execution_continuation_carrier_v3_lineage_correction_preparation_inactive_authority.txt	8148	1	0	true	644	ed4a7a488d3f2f7b860e5c0b7d0604b28fe44603e5fd4b4e5565bfad073920f1	authority_or_candidate_text	FROZEN_HISTORICAL_NONCREDIT
v16_public_gate_execution_continuation_carrier_v3_lineage_correction_preparation_inactive_authority_v2.txt	9823	1	0	true	644	dc7005ea4f5dff7b19c2b999b447f68ac4debf42f8d7e1cbbbc913e5229ed562	authority_or_candidate_text	FROZEN_HISTORICAL_NONCREDIT
v16_public_gate_execution_continuation_carrier_v3_lineage_transformer_v1.pl	11843	254	0	true	644	1b9b16e740d6dff5ac1461b3f9f15bba1f47f6426cabf4f6baf2254c6e799667	perl_transformer	FROZEN_HISTORICAL_NONCREDIT
v16_public_gate_execution_continuation_carrier_v3_lineage_transformer_v2.pl	11836	249	0	true	644	7998902b29931e83aac751516a31f0d8fd203b55a498647b311e0a1b3da7069a	perl_transformer	FROZEN_HISTORICAL_NONCREDIT
v16_public_gate_execution_continuation_carrier_v3_lineage_transformer_v3.pl	14081	280	0	true	644	971a4f79f6352e209df088bd619787ac93ceaf1ab0163e5e5cbaefd6d092d83d	perl_transformer	FROZEN_HISTORICAL_NONCREDIT
v16_public_gate_execution_continuation_carrier_v3_t06_sanitized_shape_extractor_v1.js	32248	1024	0	true	644	4793b3436f08337259d712bfc734e2a563fbed83f30c1751a4944d1cf95f55b8	javascript_extractor	FROZEN_INVALID_HISTORICAL_NONCREDIT
v16_public_gate_execution_continuation_carrier_v3_t06_sanitized_shape_extractor_v2.js	41972	1339	0	true	644	0d2dcffe2d55c08e97dfcf588e8a13b6b26f8e5c337ee549e3ffcf41c300dcca	javascript_extractor	FROZEN_INVALID_HISTORICAL_NONCREDIT
