path	bytes	LF	CR	final_LF	mode	SHA256	type	status
preparation_authority_v1.txt	9439	181	0	true	644	27378f825214f0b201547fac439babffdea5097726026ff0a3c8b42058ce92a3	authority_text	CLOSED_CONSUMED_STOP_EXACT_COPY
stop_preservation_authority_v1.txt	7408	157	0	true	644	00c877c0093c4bfcb993b17e5bdf83fe8886ef813975adb3a30a60445925a49b	authority_text	CLOSED_CONSUMED_STOP_EXACT_COPY
path_root_correction_authority_v2.txt	10070	207	0	true	644	7a9c384e4a2678860f390a11120e847dfe61f5db26d178b7f22c926613c9fcc6	authority_text	APPROVED_ACTIVATED_PUBLICATION_BOUNDARY
Handoff.md	4828	119	0	true	644	a4306edb99ad35bcc1a069faeb15e941a2770da55a714357d0d10ef53ef9e89a	handoff	ADMINISTRATIVE_CONTINUITY_CHECKPOINT
preparation_noninteractive_material_and_durable_retry_authority_v3.txt	31112	559	0	true	644	ed3534072f145d17e41c3971ae2fde2419061b87628b05860cf5e561eec9e03d	authority_text	APPROVED_ACTIVATED_SINGLE_USE_STAGE_A
withdrawn_unapproved_preparation_authority_v1.txt	15150	295	0	true	644	84755f839aef68535d9fdfad6434df4cf26df4f000115cba7543dec43cabb6eb	authority_text	WITHDRAWN_UNAPPROVED_UNACTIVATED_EFFECT0
withdrawn_unapproved_preparation_authority_v2.txt	20915	404	0	true	644	3878f8a7994813fa204184ee58123b1fdd81b7dccb7f1850e687d715333106e7	authority_text	WITHDRAWN_UNAPPROVED_UNACTIVATED_EFFECT0
v16_standalone_preparation_noninteractive_inspector_generator_v1.js	35152	920	0	true	644	6d5cfdfa346a7812c3130dea10f49dfb4f40b41a94701008967c55c83e655f8e	javascript_inspector	FROZEN_UNREVIEWED_NONEXECUTED_NONCREDIT
Handoff.md	7801	152	0	true	644	c69104bdf85a7c239786ee2081543bc77cc4cfbed7f996a91a1f621ceabf9f64	handoff	STAGE_A_FROZEN_INPUTS_LOCAL_PREPUBLICATION
stage_b_local_patch_postimage_correction_and_publication_authority_v4.txt	26383	529	0	true	644	7c2108ba27dd35116f95466984929037a30bfb84c71c218eac9bc83c2f795d77	authority_text	APPROVED_ACTIVATED_CONSUMED_CLOSED_PASS_IF_EXACT7_BYTES_AND_KAREN_WRITE_GROUP_UNION_EXACT7_UNAUTHORIZED0_SINGLE_USE_STAGE_B_RECOVERY
stage_b_local_patch_mismatch_bundle_v1.json	25028	129	0	true	644	50e8b6b3fb630b6a4fb823fa76db9548a37c8b1cc7ee2c94b8861336fe4af521	recovery_bundle	FROZEN_NONCREDIT_LOCAL_EFFECT
preexecution_inspector_review_receipt_v1.md	9420	127	0	true	644	924d82ce89bd7de8e046f44500ea7df77b85fb6b33e7a91e193d8a3a9ed095dd	review_receipt	CLOSED_CONSUMED_STOP_PREEXEC_STATIC_REVIEW_FAIL
Handoff.md	12895	213	0	true	644	a9518c30c43f00cee141651fac3bd73f1dde8172192dc128d39a2ba13c3a657a	handoff	STAGE_B_STATIC_REVIEW_AND_LOCAL_PATCH_RECOVERY
v16_cycle001_inspector_v2_direct_gate_closure_authority_v1.txt	40458	732	0	true	644	5d00c7142e3ff7041b88277c6d08cf88a5097173f251318da35168cb5e5aea08	authority_text	APPROVED_ACTIVATED_CONSUMED_STAGE_A_PUBLISHED_QA_PENDING
v16_inspector_v2_preimport_scanner_v1.js	9976	315	0	true	644	087c8afdcbb278d7fc0c3d01c322bd64b2c168cec05840403ff4d046a5ff1c45	preimport_scanner	FROZEN_PUBLISHED_QA_PENDING
