"path","scope","change_type","kind","summary","claim_boundary","size_bytes_before","sha256_before","size_bytes_current","sha256_current"
"mashos-api/ai/docs/Cocolon_EmlisAI_NLSv2_AllSteps_Audit_Correction_20260713.md","NLS_V2","added_since_nls_step0_baseline","implementation_or_audit_document","Step 0〜13の段階結果または全Step監査訂正","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","15465","cef3ca599d1472dfc4ac04c07fea459c5424035c376fd5e1eb9714ddb5b950fa"
"mashos-api/ai/docs/Cocolon_EmlisAI_NLSv2_S0_S1_Result_20260713.md","NLS_V2","added_since_nls_step0_baseline","implementation_or_audit_document","Step 0〜13の段階結果または全Step監査訂正","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","11951","3d9e756a6719db98c6a59ec0274f773ee809c8b761d35a4023097731178011f9"
"mashos-api/ai/docs/Cocolon_EmlisAI_NLSv2_S10_S11_Blocked_Result_20260713.md","NLS_V2","added_since_nls_step0_baseline","implementation_or_audit_document","Step 0〜13の段階結果または全Step監査訂正","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","7331","d343fbff60f027d39a6f868e27693dc77259fdf0981cd6ddf4e45864bd720c70"
"mashos-api/ai/docs/Cocolon_EmlisAI_NLSv2_S12_S13_DeviceCheck_Blocked_Result_20260713.md","NLS_V2","added_since_nls_step0_baseline","implementation_or_audit_document","Step 0〜13の段階結果または全Step監査訂正","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","15804","e1e88b98c20d762417bf77a7ed491dfdf0056bc2f3b90df2d40956baa845fbdb"
"mashos-api/ai/docs/Cocolon_EmlisAI_NLSv2_S2_S3_Result_20260713.md","NLS_V2","added_since_nls_step0_baseline","implementation_or_audit_document","Step 0〜13の段階結果または全Step監査訂正","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","11689","44c7b1b2697a314d09c29328e1e6d84ba2b62a0aa245ee8f474dc7016c2d0dc2"
"mashos-api/ai/docs/Cocolon_EmlisAI_NLSv2_S4_S5_Result_20260713.md","NLS_V2","added_since_nls_step0_baseline","implementation_or_audit_document","Step 0〜13の段階結果または全Step監査訂正","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","8065","9bae012c640c5b2c1a65c0def915678ab3c8a594f4c423c5010388d53cc47a59"
"mashos-api/ai/docs/Cocolon_EmlisAI_NLSv2_S6_S7_Result_20260713.md","NLS_V2","added_since_nls_step0_baseline","implementation_or_audit_document","Step 0〜13の段階結果または全Step監査訂正","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","11298","4cc6a25ee365aaf0269ff6c468677b3994c633d46af3d9dcf75f62de227d1815"
"mashos-api/ai/docs/Cocolon_EmlisAI_NLSv2_S8_S9_Result_20260713.md","NLS_V2","added_since_nls_step0_baseline","implementation_or_audit_document","Step 0〜13の段階結果または全Step監査訂正","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","10374","36601868afe426ed3fec0e83b120da98b18eb818937d491369b0a285cca38ab7"
"mashos-api/ai/services/ai_inference/emlis_ai_grounded_human_reception_v2.py","NLS_V2","added_since_nls_step0_baseline","offline_v2_module","Content・候補計画・Surface・Selectorのoffline v2 branch","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","42706","7541cb9262a502cfff071a8056cd6d005a2990084c122043c1de3d18f5b3b607"
"mashos-api/ai/services/ai_inference/emlis_ai_grounded_reception_candidate_plan_v2.py","NLS_V2","added_since_nls_step0_baseline","offline_v2_module","Content・候補計画・Surface・Selectorのoffline v2 branch","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","26978","2bb1b15c951d709bfa44b14d9bc678c0cfaae6a5bd42021ec9a53028104a7674"
"mashos-api/ai/services/ai_inference/emlis_ai_grounded_reception_candidate_selector_v2.py","NLS_V2","added_since_nls_step0_baseline","offline_v2_module","Content・候補計画・Surface・Selectorのoffline v2 branch","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","42413","ec61bc59d2e40effb97f39ffb52f2ea7073c9ea1beb680e5fe6c4a84b6f7f6ef"
"mashos-api/ai/services/ai_inference/emlis_ai_grounded_reception_content_plan_v2.py","NLS_V2","added_since_nls_step0_baseline","offline_v2_module","Content・候補計画・Surface・Selectorのoffline v2 branch","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","36642","515bc6b171b79e9e938b7c5710dbaddd5c88ebeb9b97b1e7037f75af323f23f6"
"mashos-api/ai/tests/fixtures/emlis_nls_v2_all_steps_audit_20260713.json","NLS_V2","added_since_nls_step0_baseline","body_free_freeze_or_receipt","設計・corpus・評価・停止状態をbody-freeで固定","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","15006","e86b8d26baa44f058a4dca962c1c0ce54ca9c959a41bafe4ed738a216c6c65c1"
"mashos-api/ai/tests/fixtures/emlis_nls_v2_s0_freeze_20260713.json","NLS_V2","added_since_nls_step0_baseline","body_free_freeze_or_receipt","設計・corpus・評価・停止状態をbody-freeで固定","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","7703","7a6b02e2abfa1b60cea681238a1482f4b310f0010214e7fd8e7175bd891fdddd"
"mashos-api/ai/tests/fixtures/emlis_nls_v2_s1_receipt_20260713.json","NLS_V2","added_since_nls_step0_baseline","body_free_freeze_or_receipt","設計・corpus・評価・停止状態をbody-freeで固定","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","45474","fff9164a291907b2dea03f2e062bc3db808d2728db6b9217f0e823d977721af7"
"mashos-api/ai/tests/fixtures/emlis_nls_v2_s10_s11_runtime_blocked_20260713.json","NLS_V2","added_since_nls_step0_baseline","body_free_freeze_or_receipt","設計・corpus・評価・停止状態をbody-freeで固定","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","3855","19aad8448e9e60ae385ddf1da6cf67c6da86c3303acf605b0b673cfe02b12f98"
"mashos-api/ai/tests/fixtures/emlis_nls_v2_s12_s13_device_blocked_20260713.json","NLS_V2","added_since_nls_step0_baseline","body_free_freeze_or_receipt","設計・corpus・評価・停止状態をbody-freeで固定","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","16573","5677675b30cdf32a5cb56a52b81a12766ba2902af8e24237111d53bf0988fb29"
"mashos-api/ai/tests/fixtures/emlis_nls_v2_s2_corpus_manifest_20260713.json","NLS_V2","added_since_nls_step0_baseline","body_free_freeze_or_receipt","設計・corpus・評価・停止状態をbody-freeで固定","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","5344","ecb51a1336ebecfe548bc3b601667c5f35bae838551ca846ed6be9e03e40a284"
"mashos-api/ai/tests/fixtures/emlis_nls_v2_s7_freeze_20260713.json","NLS_V2","added_since_nls_step0_baseline","body_free_freeze_or_receipt","設計・corpus・評価・停止状態をbody-freeで固定","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","2640","2057ea8d3462dcd78cffb479414e50be516d0310b4135eb614f32ada964ff79d"
"mashos-api/ai/tests/fixtures/emlis_nls_v2_s8_holdout_a_receipt_20260713.json","NLS_V2","added_since_nls_step0_baseline","body_free_freeze_or_receipt","設計・corpus・評価・停止状態をbody-freeで固定","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","323511","16c6040caf3d12304cc54955f874667b5cc24836d2f6e8f103b8a2578c848cf1"
"mashos-api/ai/tests/fixtures/emlis_nls_v2_s8_s9_protocol_freeze_20260713.json","NLS_V2","added_since_nls_step0_baseline","body_free_freeze_or_receipt","設計・corpus・評価・停止状態をbody-freeで固定","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","6729","b1df0cee2de94ddff3e93d9d3fbc04f96e207545e58a06b4874420a07dc97d41"
"mashos-api/ai/tests/fixtures/emlis_nls_v2_s9_holdout_b_receipt_20260713.json","NLS_V2","added_since_nls_step0_baseline","body_free_freeze_or_receipt","設計・corpus・評価・停止状態をbody-freeで固定","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","1675","9f23860ecbad2408710eedc220144a185555cc81b56323647b2de6179dbda495"
"mashos-api/ai/tests/helpers/emlis_nls_v2_s1_baseline.py","NLS_V2","added_since_nls_step0_baseline","test_helper","baseline・Development・Holdout評価helper","offline_only_stopped。runtime ownerはv1。audit correctionをcurrent判定ownerとする","","","24185","df639b57be911ca91f0886dca67742020a874abe618bcb3ef6bac879434a14be"
