repo,status,path,old_sha256,new_sha256,change_summary
mashos-api,added,mashos-api/ai/docs/Cocolon_EmlisAI_P0_P1_PublicInputFeedbackArrivalContractRepair_RedBClassification_Step6_20260608.md,,7a9cb53503b02cd8192d2ce8b6b1a6545cc80334d2b860deae5a0496b14eae3f,Red B1/B2をstale_contract_expectationとして分類し、safe recoveryとtrue unavailable境界を分離するledger。
mashos-api,added,mashos-api/ai/docs/Cocolon_EmlisAI_P0_P1_PublicInputFeedbackArrivalContractRepair_RedLedger_Step0_20260608.md,,5ec1d692d0cee4f7cb25bab873af28c8fae6b55087dcef3a2a87d430b8a4467b,作業前baselineとRed A/Bの状態を固定するred ledger。
mashos-api,added,mashos-api/ai/docs/Cocolon_EmlisAI_P0_P1_PublicInputFeedbackArrivalContractRepair_Step10_ExistingGreenRegression_20260608.md,,68986ba6c9d25e701d4c09b443ccc25c726c6c408c0b55ffd57fa23d26bac0e2,Step10既存green回帰確認とUser Label sanitizer契約修正の記録。
mashos-api,added,mashos-api/ai/docs/Cocolon_EmlisAI_P0_P1_PublicInputFeedbackArrivalContractRepair_Step5_RedA_E2EGreen_20260608.md,,fcdd6294562ad905daa72834b011d81939080d5dcd16c0b586116d55d25f935a,Red A E2E display contract green確認の記録。
mashos-api,changed,mashos-api/ai/services/ai_inference/emlis_ai_product_surface_validation.py,12340a1afa07d5ffe6c8d72e98e98ed41f479443c6bb4c4623a675c8a5c405cc,e96bbd493803a190fe012722edfc3238c9b28a37b42c3865b7ec8442f500b05c,product surface validation側のrn_visible/public_gate判定でvisible yellow/warnとstrict gate blockを分離。
mashos-api,changed,mashos-api/ai/services/ai_inference/emlis_ai_public_feedback_meta.py,b1935054034d6b2926b98733e2f5a1c4fcd29f3f09386613219fcb048e25c912,6e4761934f2f11b08c719e47a1ed07f619df5ff4b894d58fdd370fcd9fa3871e,visible_surface yellow/warnをpublic inclusion terminal blockerにしないpolicyへ修正し、true unavailable/safety fail-closedとbody-free meta markerを維持。
mashos-api,changed,mashos-api/ai/services/ai_inference/emotion_submit_service.py,0509612ed545124d8d8c9dfa3188ad47292888667c0106feada5ea59de827835,818ee1edb7ac4ff5f12cc7f8537eeb10fedc9f7dd37a4d165c5248a7249830f2,submit inclusion summaryを同じyellow/warn policyへ揃え、public_reached/rn_visible/product_surface_validの分離を維持。
mashos-api,changed,mashos-api/ai/tests/test_emlis_ai_display_contract.py,cbea09fad4d6431c244f052bec481b42f9a68ba492a19985ca13e1f4c0839a89,6be799a592e76f1dd343680df699b13854909b89332e41d64490f072eea45141,Red A/B display contractを現在契約へ更新し、safe recoveryとno body leakを固定。
mashos-api,changed,mashos-api/ai/tests/test_emlis_ai_product_surface_validation_p3.py,3d1eef59f050c1c3dcebd7fd0f93da80737ea0edf7653e395254c93ecddba541,89cf4edd5e8195c332ecfc31fdf92a683a43b200cd97f843864c0887716d935f,product validation側のyellow/warn / strict gate regressionを追加・更新。
mashos-api,changed,mashos-api/ai/tests/test_emlis_ai_public_feedback_meta.py,2ce97dfb8da385d432a63c794ac7d89dc2325bdcc03116474150fd7b11299193,507c4d1717ab9a1a8c536b58cf303e8cde1d50debe593d08bfec4e1d0cd79c71,Red A focused、fail-closed、no body leak regressionを追加・更新。
mashos-api,changed,mashos-api/ai/tests/test_emlis_ai_user_label_connection_e2e_contract.py,3505f3fc49e3a7d24ac2e08b2597726c243f139beb49db7675a3ca5b7cfca89e,aca883abadac8967291716450c7cf2fcc3d4f61e404cf409c81d7801442b8c5c,body-free marker candidate_body_included=falseを許可し、raw candidate body leakは禁止するsanitizer契約へ修正。
mashos-api,changed,mashos-api/ai/tests/test_emotion_submit_public_feedback_inclusion_summary_p7.py,4e09455720c3a8647b0db05ea7cb912f33604a33b01e6b96d06ec6e46cc351dc,1f9399dae17247a39eef5db0b2a8243217c0ebe1b33fc56ae7430d5217077bb2,yellow/warnをabsence reasonにしないinclusion summary regressionを追加・更新。
